[WARNING] 2026-01-24 19:42:37,770 | django.request | Not Found: /favicon.ico
[WARNING] 2026-01-24 19:42:37,773 | django.server | "GET /favicon.ico HTTP/1.1" 404 12763
[WARNING] 2026-01-24 19:42:41,535 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2026-01-24 19:43:05,194 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2026-01-24 19:43:15,841 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2026-01-24 19:43:34,042 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2026-01-24 19:43:41,011 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[INFO] 2026-01-24 19:46:32,238 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:46:32,906 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:46:55,057 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:46:55,489 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:47:26,709 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:47:27,112 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:47:38,191 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:47:38,584 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:48:08,132 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:48:08,513 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:48:17,842 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:48:18,214 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:48:29,181 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:48:29,609 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:49:01,399 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:49:01,789 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:49:27,736 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:49:28,106 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 19:49:36,546 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 19:49:36,886 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2026-01-24 19:58:57,007 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2026-01-24 20:00:24,277 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[WARNING] 2026-01-24 20:00:34,701 | django.server | "GET /static/frontend/css/style.css HTTP/1.1" 404 1880
[INFO] 2026-01-24 20:10:41,595 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:10:42,176 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:11:07,774 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:11:08,176 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:11:50,617 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:11:50,950 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:11:56,041 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:11:56,416 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:12:33,053 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:12:33,645 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:12:42,052 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:12:42,462 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:12:54,864 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:12:55,387 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:12:57,678 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:12:58,034 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:14:24,844 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:14:25,249 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:14:28,140 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:14:28,517 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 20:22:59,102 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 20:22:59,655 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 21:06:10,815 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 21:06:11,809 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2026-01-24 21:06:24,010 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2026-01-24 21:06:24,492 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
